Molality,Monomer Molecular Weight,Degree of Polymerization,CONDUCTIVITY,Mol_smiles_clean,is_valid,Count_P,Count_Cl,Count_O,Count_Si,Count_C,Count_F,Count_N,Count_S,Heteroatom_count,Topological_diameter_bonds,Longest_chain_atoms_est,MolWt,MolLogP,LogP,TPSA,TPSA_ratio,NumHDonors,NumHAcceptors,NumRotatableBonds,HeavyAtomCount,LabuteASA,Chi0,Chi1,Kappa1,Kappa2,FractionCSP3,RingCount,NumAromaticRings,NumAliphaticRings,MolCharge,MaxCharge,MinCharge,MeanCharge,FG_carbonyl,FG_ester,FG_amine_primary,FG_amine_secondary,FG_tertiary_amine,FG_sulfonyl,FG_thiol,FG_phosphate,FG_ether,FG_aromatic_ring,AromaticAtomCount,EState_sum,EState_mean,EState_max,EState_min,EState_std,Total_formal_charge,Num_positive_atoms,Num_negative_atoms,SASA_sum
1.4005,467.71,19.0,7.5748e-05,COCC(CNCC(CF)OC(=O))O,True,0,0,4,0,8,1,1,0,1,10.0,11,209.21699999999998,-0.9055999999999997,-0.9055999999999997,67.79,0.3240176467495472,2,5,9,14,82.1920897263936,10.811554787871634,6.739912065068584,13.28,8.859728552765278,0.875,0,0,0,0,0.29299404892409964,-0.460431630057729,-0.08749250871126642,1,1,0,1,1,0,0,0,2,0,0,43.166666666666664,3.083333333333333,12.105996551398338,-0.7895880574452006,4.210615945044031,0,0,0,82.1920897263936
1.4735,475.72,13.0,6.952e-05,O=C(CCNC(=O)COC(=O))NCCN,True,0,0,4,0,8,0,3,0,0,12.0,13,217.22499999999997,-2.2593999999999976,-2.2593999999999976,110.52,0.5087812176314882,3,5,8,15,87.33157242247277,11.518661569058182,7.2019072626078,13.370000000000001,8.945977766452652,0.625,0,0,0,0,0.2930886405067509,-0.457795325746466,-0.08302556805353839,3,1,1,2,3,0,0,0,1,0,0,46.333333333333336,3.088888888888889,10.992086718946839,-0.43636587196607013,4.06348914626043,0,0,0,87.33157242247277
1.4422,462.68,17.0,0.00010438,NC(=O)C(COC(=O))NC(=O)CCO,True,0,0,5,0,7,0,2,0,0,9.0,10,204.18199999999996,-2.488099999999999,-2.488099999999999,118.72000000000001,0.5814420468013832,3,5,7,14,80.21100187666416,10.974691494688164,6.612590865130757,12.37,6.8399852145567515,0.5714285714285714,0,0,0,0,0.292666842046471,-0.4651372266105664,-0.08943113704100135,3,1,1,1,2,0,0,0,1,0,0,48.16666666666667,3.4404761904761907,10.898290816326531,-1.0562500000000001,4.502828344474004,0,0,0,80.21100187666416
1.4327,476.75,16.0,2.6533e-05,CC(COC(=O))COC(=O)C(C)(C)CO,True,0,0,5,0,10,0,0,0,0,10.0,11,218.24899999999997,0.3572,0.3572,72.83,0.33370141443947055,1,5,7,15,89.36809846869632,11.897341225498538,6.935887497332023,13.900000000000002,6.396026049508072,0.8,0,0,0,0,0.3133554576364725,-0.46747850660602014,-0.067782808267725,2,2,0,0,0,0,0,0,2,0,0,43.75,2.9166666666666665,11.381498015873017,-0.8836942161123709,3.946091232054859,0,0,0,89.36809846869632
1.468,477.69,26.0,3.8499e-05,COC(=O)CC(=O)NC(CO)COC(=O),True,0,0,6,0,8,0,1,0,0,10.0,11,219.19299999999998,-1.8003999999999993,-1.8003999999999993,101.93,0.4650239743057489,2,6,7,15,86.34959852355493,11.681798275874712,7.133758915185936,13.369999999999997,7.744209491764766,0.625,0,0,0,0,0.31453939529705155,-0.46861955843753783,-0.0765480517704998,3,2,0,1,1,0,0,0,2,0,0,49.666666666666664,3.311111111111111,11.077874149659864,-0.7154109977324266,4.407540170740515,0,0,0,86.34959852355493
1.4787,477.69,31.0,4.1056e-05,COC(=O)CC(=O)NCC(CO)OC(=O),True,0,0,6,0,8,0,1,0,0,10.0,11,219.19299999999998,-1.8003999999999993,-1.8003999999999993,101.93,0.4650239743057489,2,6,7,15,86.34959852355493,11.681798275874712,7.133758915185936,13.369999999999997,7.744209491764766,0.625,0,0,0,0,0.3145392267651825,-0.46861955933313193,-0.07543154985911524,3,2,0,1,1,0,0,0,2,0,0,49.666666666666664,3.311111111111111,10.999532312925169,-0.8017620937263799,4.3932714133866515,0,0,0,86.34959852355493
1.4418,461.74,19.0,2.7746e-05,CC(O)C(=O)NC(C)C(C)(C)OC(=O),True,0,0,4,0,9,0,1,0,0,8.0,9,203.23799999999997,-0.17650000000000032,-0.17650000000000032,75.63,0.37212529153012724,2,4,5,14,83.43947330840086,11.35337115112852,6.308566297394197,12.9,4.95024333881867,0.7777777777777778,0,0,0,0,0.2931864124663294,-0.4596985247345731,-0.06950565107249143,2,1,0,1,1,0,0,0,1,0,0,41.58333333333333,2.970238095238095,11.09917044595616,-1.0652952569916863,4.008001651434909,0,0,0,83.43947330840086
1.4056,460.75,16.0,3.1809e-05,CC(CCN(C)C(=O)CCN)OC(=O),True,0,0,3,0,9,0,2,0,0,10.0,11,202.25399999999996,-0.2547999999999992,-0.2547999999999992,72.63,0.35910291020202323,1,4,7,14,84.1951017398129,10.974691494688164,6.612590865130759,12.9,7.3176284871383475,0.7777777777777778,0,0,0,0,0.2928435417295127,-0.46481258532298275,-0.07200669455783577,2,1,1,0,1,0,0,0,1,0,0,38.50000000000001,2.7500000000000004,11.24900179516251,-0.15219765684051434,3.5823660391186536,0,0,0,84.1951017398129
1.3868,448.7,19.0,8.4612e-05,CC(CNC(COC(=O))C(N)=O)O,True,0,0,4,0,7,0,2,0,0,8.0,9,190.19899999999998,-2.016299999999999,-2.016299999999999,101.64999999999999,0.5344402441653215,3,5,7,13,76.04947977662037,10.267584713501616,6.074586062669974,11.860000000000001,6.384129941056816,0.7142857142857143,0,0,0,0,0.2926483232410745,-0.4656694661512968,-0.09550069283833472,2,1,1,1,2,0,0,0,1,0,0,41.33333333333334,3.17948717948718,10.700041572184428,-0.7501851851851853,4.048978104392856,0,0,0,76.04947977662037
1.323,462.72,31.0,7.2499e-05,CC(C)NC(=O)NCC(COC(=O))O,True,0,0,4,0,8,0,2,0,0,10.0,11,204.22599999999997,-0.7720999999999998,-0.7720999999999998,87.66000000000001,0.42923036244160895,3,4,6,14,82.62439337761231,10.974691494688164,6.5577493102643665,12.7,7.13694389685119,0.75,0,0,0,0,0.31457941347988394,-0.46507134783649584,-0.08674357562856226,2,1,0,2,2,0,0,0,1,0,0,41.83333333333334,2.9880952380952386,10.988025793650793,-0.8767479213907785,3.902500710345156,0,0,0,82.62439337761231
1.3782,458.69,26.0,5.6401e-05,CC(CO)(COC(=O))NC(=O)CC#N,True,0,0,4,0,8,0,2,0,0,9.0,10,200.194,-1.0597200000000002,-1.0597200000000002,99.41999999999999,0.49661828026813987,2,5,6,14,81.46711087547297,11.02709773749546,6.575827365456815,12.390000000000002,5.937904811898852,0.625,0,0,0,0,0.29266375845239595,-0.4653199401691367,-0.06962586273436318,2,1,0,1,1,0,0,0,1,0,0,45.91666666666667,3.279761904761905,10.992110260770975,-1.0328935185185184,4.207641565684344,0,0,0,81.46711087547297
1.4135,465.79,19.0,6.8222e-05,CSCC(CNCC(C)O)OC(=O),True,0,0,3,0,8,0,1,1,1,8.0,9,207.29500000000002,-0.13860000000000022,-0.13860000000000022,58.559999999999995,0.2824959598639619,2,5,8,13,83.03611911932575,10.104448006685086,6.201907262607799,12.739999999999998,8.343298921307444,0.875,0,0,0,0,0.29292964957391937,-0.4623474032235704,-0.08254286845959093,1,1,0,1,1,0,0,0,1,0,0,34.0,2.6153846153846154,10.07847552910053,-0.3692956349206351,3.233175657770221,0,0,0,83.03611911932575
